disease,symptoms,prevention,when_to_see_doctor,home_care,severity,age_group,category,rural_prevalence,govt_free_treatment,recommended_facility
Dengue,"high fever, severe headache, pain behind eyes, joint pain, muscle pain, skin rash, nausea, vomiting, bleeding gums, fatigue","Use mosquito nets, wear full-sleeved clothes, remove stagnant water around home, use insect repellent","If fever persists beyond 2 days, signs of bleeding, severe abdominal pain, persistent vomiting, or feeling very weak","Rest, drink plenty of fluids, take paracetamol for fever (avoid aspirin/ibuprofen), monitor for warning signs","severe","all ages","Vector-Borne","High in monsoon","yes","District Hospital"
Malaria,"fever with chills, sweating, headache, nausea, vomiting, body ache, fatigue, shivering","Sleep under insecticide-treated bed nets, use mosquito repellent, eliminate stagnant water, take prophylaxis in endemic areas","If high fever with chills recurs, fever not improving after 3 days, signs of severe malaria (confusion, seizures)","Rest, stay hydrated, take prescribed antimalarials on time, eat light meals","severe","all ages","Vector-Borne","High in tribal areas","yes","CHC / District Hospital"
Tuberculosis (TB),"persistent cough for more than 2 weeks, coughing blood, night sweats, weight loss, fever, fatigue, loss of appetite","Cover mouth when coughing, ensure good ventilation, BCG vaccination for children, complete full TB treatment course","If cough lasts more than 2 weeks, coughing blood, unexplained weight loss, night sweats","Isolate patient, ensure medication adherence (DOTS), nutritious diet, rest","severe","all ages","Infectious","High in tribal/rural","yes","District Hospital / DOTS Center"
Diarrhea,"loose stools, watery stools, stomach cramps, nausea, dehydration, fever, bloating","Drink boiled or filtered water, wash hands before eating, avoid street food, maintain food hygiene","If diarrhea lasts more than 3 days, blood in stool, signs of severe dehydration (sunken eyes, no urine, dizziness)","ORS solution frequently, drink plenty of fluids, eat bland food (rice, banana), avoid dairy","moderate","all ages","Waterborne","High in monsoon","yes","PHC / CHC"
Common Cold,"runny nose, sneezing, sore throat, mild cough, congestion, mild headache, low-grade fever","Wash hands frequently, avoid close contact with infected persons, cover mouth when sneezing/coughing","If symptoms last more than 10 days, high fever develops, difficulty breathing, ear pain","Rest, warm fluids, steam inhalation, salt water gargle, honey for cough (adults)","mild","all ages","Respiratory","Very high","partial","PHC"
Typhoid,"prolonged high fever, headache, stomach pain, weakness, loss of appetite, constipation or diarrhea","Drink safe water, eat properly cooked food, wash hands, typhoid vaccination for high-risk areas","If fever persists more than 5 days, abdominal pain worsens, confusion, signs of intestinal bleeding","Rest, fluid intake, soft bland diet, prescribed antibiotics must be completed fully","severe","all ages","Waterborne","Moderate","yes","CHC / District Hospital"
Chikungunya,"sudden high fever, severe joint pain, muscle pain, headache, nausea, fatigue, skin rash","Use mosquito repellent, wear full sleeves, remove stagnant water, use bed nets","If joint pain becomes debilitating, fever persists beyond a week, signs of dehydration","Rest, drink fluids, paracetamol for fever and pain, gentle joint movement when possible","moderate","all ages","Vector-Borne","Moderate in monsoon","partial","PHC / CHC"
Influenza (Flu),"sudden fever, body ache, muscle pain, headache, fatigue, cough, sore throat, congestion, chills","Annual flu vaccination, hand hygiene, avoid crowded places during outbreaks, cover mouth when coughing","If breathing difficulty, chest pain, symptoms worsen after initial improvement, high-risk groups (elderly, pregnant)","Rest, plenty of fluids, paracetamol for fever, steam inhalation, isolate to prevent spread","moderate","all ages","Respiratory","Seasonal peaks","partial","PHC"
Diabetes (Type 2) Awareness,"increased thirst, frequent urination, blurred vision, fatigue, slow wound healing, tingling in hands/feet, unexplained weight loss","Maintain healthy weight, regular exercise, balanced diet low in sugar/refined carbs, regular health checkups after age 30","If blood sugar consistently high, any foot wounds that don't heal, vision changes, frequent infections","Monitor blood sugar regularly, prescribed medication adherence, diabetic diet, foot care, regular exercise","moderate","adults 30+","NCD","Rising in rural","yes","PHC / CHC"
Hypertension (High BP) Awareness,"often no symptoms, headache, dizziness, blurred vision, nosebleed, chest palpitations, fatigue","Reduce salt intake, regular exercise, maintain healthy weight, limit alcohol, stress management, regular BP monitoring","If BP consistently above 140/90, severe headache, chest pain, vision problems, nosebleed","Regular BP monitoring, medication adherence, low-salt diet, stress reduction, avoid smoking","moderate","adults 30+","NCD","High in rural","yes","PHC / CHC"
